Price,Date Sold,Suburb,Num Bath,Num Bed,Num Parking,Property Size,Type,Suburb Population,Suburb Median Income,Cash Rate,Property Inflation Index,Km From Cbd,Population (Rounded)*,Median House Price (2020),Median House Price (2021),Percentage Change,Median House Rent (Per Week),Median Apartment Price (2020),Median Apartment Rent (Per Week),Public Housing Percentage,Avg. Years Held,Time To Cbd (Public Transport) [Town Hall St],Time To Cbd (Driving) [Town Hall St]
1440000,2016-02-26,Avalon Beach,3,5,3,657,House,9905,43628,2.0,150.9,28.35,10000.0,1900000.0,2250000.0,18.42,850.0,790000.0,550.0,0.0,8.6,95.0,55.0
1230000,2016-02-26,Mascot,2,3,2,266,House,14772,41912,2.0,150.9,9.35,15000.0,1250000.0,1600000.0,28.0,710.0,815000.0,690.0,2.0,12.0,15.0,20.0
619000,2016-02-26,Panania,2,2,1,171,House,12419,34216,2.0,150.9,22.21,12500.0,950000.0,1100000.0,15.79,630.0,750000.0,450.0,11.0,12.0,30.0,40.0
1800000,2016-02-27,Leichhardt,2,3,1,348,House,14625,56784,2.0,150.9,5.31,15000.0,1450000.0,1800000.0,24.14,770.0,875000.0,560.0,3.0,12.2,25.0,15.0
1465000,2016-02-27,Beecroft,2,4,1,853,House,9396,47112,2.0,150.9,18.35,10000.0,1700000.0,2100000.0,23.53,760.0,980000.0,500.0,0.0,12.8,45.0,30.0
1280000,2016-02-27,Rodd Point,1,2,1,303,House,1376,44876,2.0,150.9,6.12,1500.0,1950000.0,2400000.0,23.08,865.0,725000.0,500.0,0.0,15.5,35.0,15.0
1160000,2016-02-27,Leichhardt,1,3,0,186,House,14625,56784,2.0,150.9,5.31,15000.0,1450000.0,1800000.0,24.14,770.0,875000.0,560.0,3.0,12.2,25.0,15.0
1085000,2016-02-27,Leichhardt,1,2,1,209,House,14625,56784,2.0,150.9,5.31,15000.0,1450000.0,1800000.0,24.14,770.0,875000.0,560.0,3.0,12.2,25.0,15.0
1000000,2016-02-27,Ermington,2,6,3,822,House,10737,33644,2.0,150.9,15.0,11000.0,1200000.0,1400000.0,16.67,570.0,725000.0,510.0,17.0,11.7,50.0,30.0
925000,2016-02-27,Leichhardt,1,2,0,139,House,14625,56784,2.0,150.9,5.31,15000.0,1450000.0,1800000.0,24.14,770.0,875000.0,560.0,3.0,12.2,25.0,15.0
